attendance_id,student_id,date,status
108,852963,2024-11-06,Absent
109,12033028,2024-11-06,Absent
110,12033028,2024-11-06,Absent
111,12033028,2024-11-06,Absent
112,1203313,2024-11-06,Absent
113,123456,2024-11-06,Absent
114,123457,2024-11-06,Absent
115,12033919,2024-11-06,Absent
116,120225025,2024-11-06,Absent
117,7878787,2024-11-06,Absent
118,120300,2024-11-06,Absent
119,12033028,2024-11-06,Absent
120,12033028,2024-11-06,Absent
121,1203313,2024-11-06,Absent
122,12033028,2024-11-06,Absent
123,147852,2024-11-06,Absent
124,147963,2024-11-06,Absent
125,852963,2024-11-06,Absent
126,12033028,2024-11-06,Absent
127,12033028,11/7/24,Present
128,12033028,11/7/24,Present
129,1203313,11/7/24,Absent
130,123456,11/7/24,Absent
131,123457,11/7/24,Present
132,12033919,11/7/24,Absent
133,120225025,11/7/24,Absent
134,7878787,11/7/24,Absent
135,120300,11/7/24,Absent
136,12033028,11/7/24,Absent
137,12033028,11/7/24,Absent
138,1203313,11/7/24,Absent
139,12033028,11/7/24,Absent
140,147852,11/7/24,Absent
141,147963,11/7/24,Absent
142,852963,11/7/24,Absent
143,12033028,11/7/24,Absent
144,12033028,Select Date for Attendance,Absent
145,12033028,Select Date for Attendance,Absent
146,1203313,Select Date for Attendance,Absent
147,123456,Select Date for Attendance,Absent
148,123457,Select Date for Attendance,Absent
149,12033919,Select Date for Attendance,Absent
150,120225025,Select Date for Attendance,Absent
151,7878787,Select Date for Attendance,Absent
152,120300,Select Date for Attendance,Absent
153,12033028,Select Date for Attendance,Absent
154,12033028,Select Date for Attendance,Absent
155,1203313,Select Date for Attendance,Absent
156,12033028,Select Date for Attendance,Absent
157,147852,Select Date for Attendance,Absent
158,147963,Select Date for Attendance,Absent
159,852963,Select Date for Attendance,Absent
160,12033028,Select Date for Attendance,Absent
161,12033028,Select Date for Attendance,Absent
162,12033028,Select Date for Attendance,Absent
163,1203313,Select Date for Attendance,Absent
164,123456,Select Date for Attendance,Absent
165,123457,Select Date for Attendance,Present
166,12033919,Select Date for Attendance,Absent
167,120225025,Select Date for Attendance,Present
168,7878787,Select Date for Attendance,Absent
169,120300,Select Date for Attendance,Present
170,12033028,Select Date for Attendance,Absent
171,12033028,Select Date for Attendance,Absent
172,1203313,Select Date for Attendance,Absent
173,12033028,Select Date for Attendance,Absent
174,147852,Select Date for Attendance,Absent
175,147963,Select Date for Attendance,Absent
176,852963,Select Date for Attendance,Absent
177,12033028,Select Date for Attendance,Absent
178,12033028,Select Date for Attendance,Absent
179,12033028,Select Date for Attendance,Absent
180,1203313,Select Date for Attendance,Absent
181,123456,Select Date for Attendance,Absent
182,123457,Select Date for Attendance,Absent
183,12033919,Select Date for Attendance,Present
184,120225025,Select Date for Attendance,Absent
185,7878787,Select Date for Attendance,Absent
186,120300,Select Date for Attendance,Absent
187,12033028,Select Date for Attendance,Absent
188,12033028,Select Date for Attendance,Absent
189,1203313,Select Date for Attendance,Absent
190,12033028,Select Date for Attendance,Absent
191,147852,Select Date for Attendance,Absent
192,147963,Select Date for Attendance,Absent
193,852963,Select Date for Attendance,Absent
194,12033028,Select Date for Attendance,Absent
195,12033028,Select Date for Attendance,Absent
196,12033028,Select Date for Attendance,Absent
197,1203313,Select Date for Attendance,Absent
198,123456,Select Date for Attendance,Absent
199,123457,Select Date for Attendance,Absent
200,12033919,Select Date for Attendance,Absent
201,120225025,Select Date for Attendance,Absent
202,7878787,Select Date for Attendance,Absent
203,120300,Select Date for Attendance,Present
204,12033028,Select Date for Attendance,Absent
205,12033028,Select Date for Attendance,Absent
206,1203313,Select Date for Attendance,Absent
207,12033028,Select Date for Attendance,Absent
208,147852,Select Date for Attendance,Absent
209,147963,Select Date for Attendance,Absent
210,852963,Select Date for Attendance,Absent
211,12033028,Select Date for Attendance,Absent
